MESS_DATUM;F;D
2021012516;3.0;250
2021012517;1.7;240
2021012518;1.9;230
2021012519;1.8;220
2021012520;2.6;230
2021012521;2.8;230
2021012522;2.3;220
2021012523;1.9;210
2021012600;2.3;220
2021012601;1.1;210
2021012602;0.7;120
2021012603;1.0;90
2021012604;1.0;110
2021012605;1.1;60
2021012606;0.8;360
2021012607;0.7;290
2021012608;1.1;310
2021012609;0.9;220
2021012610;2.1;270
2021012611;3.0;270
2021012612;4.4;270
2021012613;4.6;280
2021012614;6.3;290
2021012615;4.9;290
2021012616;4.1;280
2021012617;2.5;280
2021012618;2.1;270
2021012619;2.5;270
2021012620;2.0;260
2021012621;1.9;250
2021012622;2.1;230
2021012623;2.0;220
2021012700;2.7;230
2021012701;2.7;230
2021012702;2.6;220
2021012703;2.5;220
2021012704;3.1;220
2021012705;3.5;220
2021012706;3.8;220
2021012707;3.8;210
2021012708;4.1;210
2021012709;4.1;200
2021012710;4.7;210
2021012711;5.1;210
2021012712;5.5;220
2021012713;6.9;210
2021012714;6.0;220
2021012715;5.2;220
2021012716;5.3;210
2021012717;5.3;210
2021012718;5.2;210
2021012719;4.8;210
2021012720;4.5;220
2021012721;4.0;220
2021012722;3.0;230
2021012723;2.3;250
2021012800;3.0;260
2021012801;3.1;260
2021012802;4.8;310
2021012803;4.1;330
2021012804;1.8;320
2021012805;2.5;340
2021012806;1.6;310
2021012807;1.5;330
2021012808;1.2;320
2021012809;2.1;10
2021012810;2.2;30
2021012811;2.6;50
2021012812;3.3;60
2021012813;3.5;70
2021012814;3.8;70
2021012815;3.6;60
2021012816;2.6;50
2021012817;2.1;40
2021012818;1.8;40
2021012819;1.8;50
2021012820;1.8;70
2021012821;1.3;80
2021012822;1.0;70
2021012823;1.4;90
2021012900;1.9;120
2021012901;2.2;100
2021012902;2.7;100
2021012903;3.2;100
2021012904;4.1;110
2021012905;4.9;100
2021012906;6.1;100
2021012907;6.0;100
2021012908;6.2;100
2021012909;6.2;100
2021012910;6.3;100
2021012911;6.2;100
2021012912;6.2;90
2021012913;6.4;90
2021012914;6.3;100
2021012915;5.2;90
2021012916;5.1;90
2021012917;6.0;90
2021012918;5.3;80
2021012919;4.7;70
2021012920;5.4;60
2021012921;4.1;60
2021012922;4.7;60
2021012923;2.8;40
2021013000;2.9;20
2021013001;2.4;360
2021013002;2.5;340
2021013003;2.8;360
2021013004;2.9;350
2021013005;2.4;330
2021013006;2.9;320
2021013007;3.3;320
2021013008;1.2;310
2021013009;0.7;300
2021013010;0.9;290
2021013011;2.5;310
2021013012;2.8;320
2021013013;3.3;320
2021013014;3.3;330
2021013015;1.7;20
2021013016;1.6;360
2021013017;0.9;320
2021013018;1.2;320
2021013019;0.4;340
2021013020;0.6;290
2021013021;0.5;340
2021013022;0.8;330
2021013023;1.2;340
2021013100;1.1;340
2021013101;0.7;290
2021013102;0.3;0
2021013103;0.5;230
2021013104;0.8;210
2021013105;1.4;220
2021013106;1.0;220
2021013107;0.8;210
2021013108;1.6;220
2021013109;2.3;220
2021013110;3.3;220
2021013111;3.6;220
2021013112;3.6;210
2021013113;2.1;210
2021013114;2.6;220
2021013115;2.5;210
2021013116;1.8;210
2021013117;1.0;200
2021013118;1.7;150
2021013119;2.3;150
2021013120;2.3;120
2021013121;2.5;140
2021013122;2.5;120
2021013123;2.7;100
2021020100;3.5;110
2021020101;3.2;120
