MESS_DATUM;V_N
2023061613;7
2023061614;8
2023061615;8
2023061616;8
2023061617;7
2023061618;8
2023061619;8
2023061620;2
2023061621;1
2023061622;4
2023061623;2
2023061700;4
2023061701;8
2023061702;8
2023061703;8
2023061704;8
2023061705;8
2023061706;8
2023061707;8
2023061708;8
2023061709;8
2023061710;1
2023061711;2
2023061712;6
2023061713;7
2023061714;7
2023061715;4
2023061716;1
2023061717;6
2023061718;8
2023061719;8
2023061720;7
2023061721;0
2023061722;0
2023061723;0
2023061800;0
2023061801;0
2023061802;0
2023061803;0
2023061804;0
2023061805;0
2023061806;0
2023061807;0
2023061808;5
2023061809;7
2023061810;0
2023061811;0
2023061812;0
2023061813;0
2023061814;0
2023061815;0
2023061816;6
2023061817;7
2023061818;8
2023061819;6
2023061820;0
2023061821;1
2023061822;8
2023061823;8
2023061900;8
2023061901;8
2023061902;8
2023061903;8
2023061904;8
2023061905;7
2023061906;8
2023061907;8
2023061908;8
2023061909;5
2023061910;7
2023061911;4
2023061912;7
2023061913;7
2023061914;7
2023061915;7
2023061916;7
2023061917;1
2023061918;2
2023061919;1
2023061920;2
2023061921;7
2023061922;5
2023061923;8
2023062000;0
2023062001;4
2023062002;7
2023062003;6
2023062004;5
2023062005;8
2023062006;6
2023062007;8
2023062008;8
2023062009;8
2023062010;7
2023062011;8
2023062012;8
2023062013;8
2023062014;5
2023062015;7
2023062016;7
2023062017;7
2023062018;7
2023062019;8
2023062020;7
2023062021;8
2023062022;8
2023062023;8
2023062100;7
2023062101;8
2023062102;7
2023062103;7
2023062104;5
2023062105;7
2023062106;8
2023062107;7
2023062109;4
2023062110;4
2023062111;6
2023062112;5
2023062113;2
2023062114;1
2023062115;7
2023062116;3
2023062117;0
2023062118;0
2023062119;0
2023062120;1
2023062121;3
2023062122;5
2023062123;7
2023062200;8
2023062201;8
2023062202;8
2023062203;8
2023062204;3
2023062205;7
2023062206;1
2023062207;7
2023062208;7
2023062209;2
2023062210;0
2023062211;5
2023062212;7
2023062213;8
2023062214;7
2023062215;7
2023062216;8
2023062217;8
2023062218;8
2023062219;8
2023062220;8
2023062221;8
2023062222;8
2023062223;8
2023062300;8
2023062301;8
2023062302;8
2023062303;8
2023062304;7
2023062305;8
2023062306;7
2023062307;8
2023062308;7
2023062309;8
2023062310;7
2023062311;8
2023062312;8
2023062313;8
2023062314;7
2023062315;4
2023062316;2
2023062317;0
2023062318;3
2023062319;7
2023062320;8
2023062321;8
2023062322;8
2023062323;8
2023062400;7
2023062401;3
2023062402;0
2023062403;0
2023062404;0
2023062405;0
2023062406;3
2023062407;7
2023062408;6
2023062409;8
2023062410;1
2023062411;3
2023062412;4
2023062413;6
2023062414;5
2023062415;7
2023062416;8
2023062417;8
2023062418;8
2023062419;8
2023062420;8
2023062421;8
2023062422;8
2023062423;0
2023062500;0
2023062501;0
