Date;Open;High;Low;Last;Volume;Status
14.09.2022;93,4;95,8;91,93;94,1;259902;0
15.09.2022;94,65;94,66;90,03;90,84;257617;0
16.09.2022;90,51;92,66;90,25;91,35;197482;0
19.09.2022;91,43;92,57;88,5;92;138529;0
20.09.2022;92,15;93,05;89,8;90,62;188559;0
21.09.2022;90,74;93,5;89,3;89,83;216932;0
22.09.2022;89,99;92,81;89,3;90,46;170284;0
23.09.2022;90,46;90,84;85,5;86,15;180102;0
26.09.2022;86,62;87,65;83,65;84,06;119602;0
27.09.2022;84,05;87,15;84,01;86,27;104088;0
28.09.2022;86,14;89,47;84,26;89,32;74332;0
29.09.2022;88,97;90,12;87,33;88,49;57863;0
30.09.2022;88,53;89,8;87,69;87,96;5892;0
03.10.2022;86,35;89,82;86,35;88,86;270689;0
04.10.2022;88,81;92,4;88,78;91,8;282379;0
05.10.2022;91,89;93,96;90,76;93,37;296201;0
06.10.2022;93,71;94,98;92,72;94,42;207526;0
07.10.2022;94,71;98,58;93,94;97,92;269400;0
10.10.2022;98,75;98,75;95,6;96,19;215365;0
11.10.2022;95,93;96,46;93,11;94,29;259027;0
12.10.2022;93,72;95,17;91,56;92,45;257656;0
13.10.2022;92,49;94,92;91,08;94,57;280518;0
14.10.2022;94,53;95,11;91,28;91,63;210773;0
17.10.2022;91,71;93,21;90,83;91,62;203801;0
18.10.2022;91,99;92,66;88,77;90,03;320421;0
19.10.2022;90,79;92,85;89,32;92,41;272350;0
20.10.2022;92,4;94,77;91,91;92,38;237540;0
21.10.2022;92,45;93,8;91;93,5;203280;0
24.10.2022;93,59;94,4;91,22;93,26;179202;0
25.10.2022;93,47;94,38;91,62;93,52;165514;0
26.10.2022;92,91;96,25;92,06;95,69;138002;0
27.10.2022;96,05;97,27;95,07;96,96;84574;0
28.10.2022;96,58;96,89;94,96;95,77;89938;0
31.10.2022;96,47;96,47;94,25;94,83;14997;0
01.11.2022;92,67;95,55;92,33;94,65;247652;0
02.11.2022;94,85;96,5;94,01;96,16;253003;0
03.11.2022;95,36;95,98;94,19;94,67;229115;0
04.11.2022;94,58;98,81;94,33;98,57;307087;0
07.11.2022;97,31;99,56;96,5;97,92;241941;0
08.11.2022;98,24;98,3;95;95,36;251667;0
09.11.2022;95,17;95,65;92,33;92,65;308020;0
10.11.2022;92,53;94,32;91,73;93,67;278533;0
11.11.2022;93,84;96,92;93,69;95,99;238066;0
14.11.2022;95,87;96,95;92,5;93,14;248245;0
15.11.2022;92,59;95,77;91,53;93,86;317499;0
16.11.2022;94,11;94,79;91,67;92,86;257615;0
17.11.2022;92,73;92,91;89,53;89,78;313529;0
18.11.2022;90,1;90,63;85,8;87,62;379661;0
21.11.2022;87,74;87,98;82,31;87,45;354597;0
22.11.2022;87,76;89,9;87,35;88,36;190846;0
23.11.2022;88,47;89,56;84,12;85,41;212138;0
24.11.2022;85,04;85,54;83,9;85,34;75611;0
25.11.2022;85,5;86,87;83,59;83,63;85308;0
28.11.2022;83,58;84,1;80,61;83,19;102556;0
29.11.2022;82,41;86;82,39;83,03;67931;0
30.11.2022;83,77;85,67;83,61;85,43;9048;0
01.12.2022;86,78;89,37;86,26;86,88;229128;0
02.12.2022;86,9;87,91;85,16;85,57;198732;0
05.12.2022;85,73;88,44;82,52;82,68;252904;0
06.12.2022;83,28;83,69;78,7;79,35;309553;0
07.12.2022;79,76;80,49;76,91;77,17;279365;0
08.12.2022;77,46;79,17;75,74;76,15;259015;0
09.12.2022;76,63;77,48;75,11;76,1;216497;0
12.12.2022;76,88;78,59;75,26;77,99;213072;0
13.12.2022;78,13;81,28;78,1;80,68;243816;0
14.12.2022;80,35;83,15;80,11;82,7;209833;0
15.12.2022;82,76;83,18;80,83;81,21;194974;0
16.12.2022;81,32;81,78;78,29;79,04;243493;0
19.12.2022;79,21;80,87;78,6;79,8;174244;0
20.12.2022;80,25;80,89;78,28;79,99;183945;0
21.12.2022;79,94;82,52;79,55;82,2;148437;0
22.12.2022;82,52;83,85;80,67;80,98;166011;0
23.12.2022;81,69;84,12;81,29;83,92;82361;0
27.12.2022;84,5;85,6;83,65;84,33;61995;0
28.12.2022;84,6;84,76;81,92;83,26;57560;0
29.12.2022;82,88;83,14;81,28;82,26;10986;0
30.12.2022;83,71;86;82,88;85,91;168654;0
03.01.2023;85,96;87;81,78;82,1;302855;0
